label,epoch,probe,param,mse
cnn_attn,13,attentive,mean,0.07219684775918722
cnn_attn,15,attentive,mean,0.08555718511343002
cnn_attn,17,attentive,mean,0.08840193040668964
cnn_attn,19,attentive,mean,0.09087030403316021
cnn_attn,1,attentive,alpha,0.25237444043159485
cnn_attn,3,attentive,alpha,0.08964785188436508
cnn_attn,5,attentive,alpha,0.0574641115963459
cnn_attn,7,attentive,alpha,0.04518749564886093
cnn_attn,9,attentive,alpha,0.029930219054222107
cnn_attn,11,attentive,alpha,0.02554921992123127
cnn_attn,13,attentive,alpha,0.027896201238036156
cnn_attn,15,attentive,alpha,0.03346125781536102
cnn_attn,17,attentive,alpha,0.03785087540745735
cnn_attn,19,attentive,alpha,0.04011153802275658
cnn_attn,1,attentive,zeta,0.8167142868041992
cnn_attn,3,attentive,zeta,0.34148555994033813
cnn_attn,5,attentive,zeta,0.2200506627559662
cnn_attn,7,attentive,zeta,0.16923321783542633
cnn_attn,9,attentive,zeta,0.13322296738624573
cnn_attn,11,attentive,zeta,0.12378130853176117
cnn_attn,13,attentive,zeta,0.11649749428033829
cnn_attn,15,attentive,zeta,0.13765311241149902
cnn_attn,17,attentive,zeta,0.13895298540592194
cnn_attn,19,attentive,zeta,0.14162907004356384
sigreg,1,linear,mean,0.5990561246871948
sigreg,3,linear,mean,0.8050172328948975
sigreg,5,linear,mean,0.7560575008392334
sigreg,7,linear,mean,0.8142958879470825
sigreg,9,linear,mean,0.781779408454895
sigreg,11,linear,mean,0.8094553351402283
sigreg,13,linear,mean,0.8066197037696838
sigreg,15,linear,mean,0.8131566643714905
sigreg,17,linear,mean,0.8050251007080078
sigreg,19,linear,mean,0.8099703192710876
sigreg,1,linear,alpha,0.32672420144081116
sigreg,3,linear,alpha,0.7472875118255615
sigreg,5,linear,alpha,0.657310426235199
sigreg,7,linear,alpha,0.7678695917129517
sigreg,9,linear,alpha,0.7022939324378967
sigreg,11,linear,alpha,0.7687444090843201
sigreg,13,linear,alpha,0.7617083787918091
sigreg,15,linear,alpha,0.7680711150169373
sigreg,17,linear,alpha,0.7504323720932007
sigreg,19,linear,alpha,0.7592731714248657
sigreg,1,linear,zeta,0.8713880181312561
sigreg,3,linear,zeta,0.8627470135688782
sigreg,5,linear,zeta,0.8548045754432678
sigreg,7,linear,zeta,0.8607223629951477
sigreg,9,linear,zeta,0.8612649440765381
sigreg,11,linear,zeta,0.8501662015914917
sigreg,13,linear,zeta,0.8515310883522034
sigreg,15,linear,zeta,0.858242392539978
sigreg,17,linear,zeta,0.8596179485321045
sigreg,19,linear,zeta,0.8606674075126648
sigreg,1,knn,mean,0.4784197509288788
sigreg,3,knn,mean,0.6097264289855957
sigreg,5,knn,mean,0.6493793725967407
sigreg,7,knn,mean,0.6992530226707458
sigreg,9,knn,mean,0.6820769906044006
sigreg,11,knn,mean,0.7210941910743713
sigreg,13,knn,mean,0.7330725789070129
sigreg,15,knn,mean,0.7299389839172363
sigreg,17,knn,mean,0.7539746165275574
sigreg,19,knn,mean,0.7646406292915344
sigreg,1,knn,alpha,0.22755885124206543
sigreg,3,knn,alpha,0.4194868505001068
sigreg,5,knn,alpha,0.4724368155002594
sigreg,7,knn,alpha,0.5800544023513794
sigreg,9,knn,alpha,0.5639981031417847
sigreg,11,knn,alpha,0.6299782991409302
sigreg,13,knn,alpha,0.6477156281471252
sigreg,15,knn,alpha,0.647774875164032
sigreg,17,knn,alpha,0.6763631105422974
sigreg,19,knn,alpha,0.7027968168258667
sigreg,1,knn,zeta,0.7292806506156921
sigreg,3,knn,zeta,0.799966037273407
sigreg,5,knn,zeta,0.8263218402862549
sigreg,7,knn,zeta,0.8184516429901123
sigreg,9,knn,zeta,0.8001558184623718
sigreg,11,knn,zeta,0.8122100830078125
sigreg,13,knn,zeta,0.8184295296669006
sigreg,15,knn,zeta,0.8121030330657959
sigreg,17,knn,zeta,0.8315861225128174
sigreg,19,knn,zeta,0.8264845013618469
vit3d,1,linear,mean,0.12455499172210692
vit3d,3,linear,mean,0.12980924546718595
vit3d,5,linear,mean,0.08565624058246613
vit3d,7,linear,mean,0.1148775964975357
vit3d,9,linear,mean,0.11974861472845078
vit3d,11,linear,mean,0.102119542658329
vit3d,13,linear,mean,0.1211271807551384
vit3d,15,linear,mean,0.10324040055274963
vit3d,17,linear,mean,0.10433435440063477
vit3d,19,linear,mean,0.11112002283334732
vit3d,21,linear,mean,0.10914618521928789
vit3d,23,linear,mean,0.09976961463689804
vit3d,25,linear,mean,0.09251496940851212
vit3d,27,linear,mean,0.0900641530752182
vit3d,29,linear,mean,0.0895223543047905
vit3d,1,linear,alpha,0.006561650428920984
vit3d,3,linear,alpha,0.005701132584363222
vit3d,5,linear,alpha,0.004631181713193655
vit3d,7,linear,alpha,0.004184606019407511
vit3d,9,linear,alpha,0.005073529668152332
vit3d,11,linear,alpha,0.005587669089436531
vit3d,13,linear,alpha,0.007042664103209972
vit3d,15,linear,alpha,0.006567598320543766
vit3d,17,linear,alpha,0.006041538901627064
vit3d,19,linear,alpha,0.006063935812562704
vit3d,21,linear,alpha,0.005918032489717007
vit3d,23,linear,alpha,0.0059095448814332485
vit3d,25,linear,alpha,0.0060053057968616486
vit3d,27,linear,alpha,0.006152245681732893
vit3d,29,linear,alpha,0.006240788381546736
vit3d,1,linear,zeta,0.24254831671714783
vit3d,3,linear,zeta,0.253917396068573
vit3d,5,linear,zeta,0.16668131947517395
vit3d,7,linear,zeta,0.22557060420513153
vit3d,9,linear,zeta,0.23442372679710388
vit3d,11,linear,zeta,0.19865143299102783
vit3d,13,linear,zeta,0.23521168529987335
vit3d,15,linear,zeta,0.1999131739139557
vit3d,17,linear,zeta,0.2026271820068359
vit3d,19,linear,zeta,0.2161760926246643
vit3d,21,linear,zeta,0.2123742997646332
vit3d,23,linear,zeta,0.1936296671628952
vit3d,25,linear,zeta,0.17902465164661407
vit3d,27,linear,zeta,0.17397606372833252
vit3d,29,linear,zeta,0.17280392348766327
vit3d,1,knn,mean,0.10721269994974136
vit3d,3,knn,mean,0.09751686453819276
vit3d,5,knn,mean,0.09668459743261336
vit3d,7,knn,mean,0.12076334655284882
vit3d,9,knn,mean,0.1206744909286499
vit3d,11,knn,mean,0.11024118959903716
vit3d,13,knn,mean,0.1052905172109604
vit3d,15,knn,mean,0.0989636480808258
vit3d,17,knn,mean,0.0970899984240532
vit3d,19,knn,mean,0.09090297669172288
vit3d,21,knn,mean,0.08400299400091171
vit3d,23,knn,mean,0.08320572972297668
vit3d,25,knn,mean,0.08263632655143738
vit3d,27,knn,mean,0.08161620050668716
vit3d,29,knn,mean,0.08142320066690445
